#,Zona,Tier,Enemigo,Objeto,Tipo,Stats,Probabilidad,Categoría
54,Ciudadela en Ruinas,4,Guardia Caída,Peto de Guardia Caída,armadura · peto,Armadura: 24 | Vida: +30,8%,armadura
55,Ciudadela en Ruinas,5,Serafín Corrupto,Poción de Salud,poción,Restaura 20 HP,50%,pocion
55,Ciudadela en Ruinas,5,Serafín Corrupto,Pluma Invertida,material,"Blanca por un lado, negra por el otro; no se decide.",30%,material
55,Ciudadela en Ruinas,5,Serafín Corrupto,Filo de Gracia Invertida,arma,Daño: 34 (Oscuridad) · inflige marchitamiento 25%,10%,arma
55,Ciudadela en Ruinas,5,Serafín Corrupto,Amuleto de Serafín,armadura · amuleto,Res.Mágica: 13,8%,armadura
56,Ciudadela en Ruinas,6,Eco de la Guardia,Poción de Salud,poción,Restaura 20 HP,50%,pocion
56,Ciudadela en Ruinas,6,Eco de la Guardia,Insignia de Guardia,material,"El esmalte se ha ido, pero el metal de debajo sigue firme.",30%,material
56,Ciudadela en Ruinas,6,Eco de la Guardia,Alabarda de Puesto,arma,Daño: 35,10%,arma
56,Ciudadela en Ruinas,6,Eco de la Guardia,Botas de Puesto,armadura · botas,Velocidad: +6,8%,armadura
57,Ciudadela en Ruinas,7,Custodio de Vidrieras,Poción de Salud,poción,Restaura 20 HP,50%,pocion
57,Ciudadela en Ruinas,7,Custodio de Vidrieras,Fragmento de Vidriera,material,"El color cambia según el ángulo, y a veces según quien lo sostenga.",30%,material
57,Ciudadela en Ruinas,7,Custodio de Vidrieras,Filo de Cristal Sagrado,arma,Daño: 35 (Sagrado) · inflige consagración 25%,10%,arma
57,Ciudadela en Ruinas,7,Custodio de Vidrieras,Anillo de Vidriera,armadura · anillo,Daño Crítico: +15%,8%,armadura
58,Ciudadela en Ruinas,8,Verdugo Infernal,Poción de Salud,poción,Restaura 20 HP,50%,pocion
58,Ciudadela en Ruinas,8,Verdugo Infernal,Eslabón al Rojo,material,Sigue caliente mucho después de arrancarlo de la cadena.,30%,material
58,Ciudadela en Ruinas,8,Verdugo Infernal,Cadena de Cobro,arma,Daño: 36,10%,arma
58,Ciudadela en Ruinas,8,Verdugo Infernal,Guanteletes de Verdugo,armadura · guantes,Daño Crítico: +12%,8%,armadura
59,Ciudadela en Ruinas,9,Heraldo del Amo,Poción de Salud,poción,Restaura 20 HP,55%,pocion
59,Ciudadela en Ruinas,9,Heraldo del Amo,Eco de Proclama,material,Sigue vibrando en el aire mucho después de haberse pronunciado.,30%,material
59,Ciudadela en Ruinas,9,Heraldo del Amo,Cetro del Heraldo,arma,Daño: 37,8%,arma
59,Ciudadela en Ruinas,9,Heraldo del Amo,Hombreras de Heraldo,armadura · hombreras,Precisión: +8,8%,armadura
60,Ciudadela en Ruinas,10,El Sin Rostro,Poción de Salud,poción,Restaura 20 HP,60%,pocion
60,Ciudadela en Ruinas,10,El Sin Rostro,Fragmento Sin Rostro,material,No tiene forma fija; cambia cada vez que dejas de mirarlo.,30%,material
60,Ciudadela en Ruinas,10,El Sin Rostro,Cetro Sin Rostro,arma,Daño: 38 (Oscuridad) · inflige marchitamiento 25%,10%,arma
60,Ciudadela en Ruinas,10,El Sin Rostro,Amuleto Sin Rostro,armadura · amuleto,Res.Mágica: 15,8%,armadura
61,El Corazón de la Brecha,1,Dragón,Poción de Salud,poción,Restaura 20 HP,60%,pocion
61,El Corazón de la Brecha,1,Dragón,Escama de Dragón,material,"Una escama del tamaño de un escudo, todavía caliente.",35%,material
61,El Corazón de la Brecha,1,Dragón,Coraza de Escamas de Dragón,armadura · peto,Armadura: 24 | Vida: +40 | Res.Mágica: 8,8%,armadura
61,El Corazón de la Brecha,1,Dragón,Colmillo de Dragón,arma,Daño: 32 (Fuego) · inflige quemadura 25%,10%,arma
61,El Corazón de la Brecha,1,Dragón,Amuleto de Escama de Dragón,armadura · amuleto,Armadura: 3 | Res.Mágica: 16 | Daño: +3,8%,armadura
